Trial,cpu_request,mem_request,gc,FreqInlineSize,MaxInlineLevel,MinInliningThreshold,CompileThreshold,CompileThresholdScaling,ConcGCThreads,InlineSmallCode,LoopUnrollLimit,LoopUnrollMin,MinSurvivorRatio,NewRatio,TieredStopAtLevel,TieredCompilation,AllowParallelDefineClass,AllowVectorizeOnDemand,AlwaysCompileLoopMethods,AlwaysPreTouch,AlwaysTenure,BackgroundCompilation,DoEscapeAnalysis,UseInlineCaches,UseLoopPredicate,UseStringDeduplication,UseSuperWord,UseTypeSpeculation,StackTraceInThrowable,nettyBufferCheck,Instances,Throughput,Responsetime,MEM_MEAN,CPU_MEAN,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,CLUSTER_MEM%,CLUSTER_CPU%,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,WEB_ERRORS
89,1.6,3723,ShenandoahGC,366,14,179,3020,8.4,8,3955,39,6,29,7,0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
90,1.3,4607,ShenandoahGC,373,43,134,2540,11.7,7,2290,108,9,25,8,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,
91,1.1,3953,ShenandoahGC,413,19,128,1510,9.4,7,4570,66,12,44,7,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
93,1.2,4096,ParallelGC,342,9,147,1210,6,6,4630,50,13,46,1,3,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
94,1.1,4294,ShenandoahGC,494,20,111,2290,10.1,8,4755,80,14,48,6,4,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
95,1.3,2624,ParallelGC,434,16,105,1880,7.7,7,3000,159,15,44,7,2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,,,,,,,,,,,,
97,1.4,3134,ParallelGC,325,10,155,1630,12.1,6,4380,119,16,17,8,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,
98,1,3315,SerialGC,427,22,125,2890,14.3,7,1070,41,8,22,7,4,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,,,,,,,,,,,,,,
99,1.5,2871,ParallelGC,356,13,169,3900,6.7,6,4055,30,14,47,1,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,

