Trial,cpu_request,mem_request,gc,FreqInlineSize,MaxInlineLevel,MinInliningThreshold,CompileThreshold,CompileThresholdScaling,ConcGCThreads,InlineSmallCode,LoopUnrollLimit,LoopUnrollMin,MinSurvivorRatio,NewRatio,TieredStopAtLevel,TieredCompilation,AllowParallelDefineClass,AllowVectorizeOnDemand,AlwaysCompileLoopMethods,AlwaysPreTouch,AlwaysTenure,BackgroundCompilation,DoEscapeAnalysis,UseInlineCaches,UseLoopPredicate,UseStringDeduplication,UseSuperWord,UseTypeSpeculation,nettyBufferCheck,Instances,Throughput,Responsetime,MEM_MEAN,CPU_MEAN,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,CLUSTER_MEM%,CLUSTER_CPU%,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,WEB_ERRORS
88,2.5,919.0M,ShenandoahGC,479,31,166,8180,13.3,5,1965,56,19,7,5,3,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,27.2167,25542,518.878,2.47676,2.35984805082282,2.60097644653704,502,555,0,4.01614,2.5,919.0M,2.5,919.0M,2569.67
54,2.5,1211.0M,SerialGC,494,31,193,9490,12.9,6,1545,20,18,14,2,3,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,27.2333,25574.3,566.956,2.47463,2.22480871789975,2.63016131651481,492,571,0,4.41074,2.5,1211.0M,2.5,1211.0M,2571.67
65,1.9,1407.0M,SerialGC,496,26,168,8740,14.2,4,2575,41,18,9,4,3,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,27.5667,25476.7,570.344,1.89107,1.65789251934815,2.00388090932593,460,582,0,3.95865,1.9,1407.0M,1.9,1407.0M,2589.67
56,2.4,690.0M,SerialGC,459,17,130,9880,14.1,5,1695,41,15,5,3,3,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,33.35,23533.8,444.198,2.21283,1.64904157797037,2.48606294765556,441,445,0,3.74246,2.4,690.0M,2.4,690.0M,2770
68,1.5,780.0M,ZGC,409,33,97,6910,13.9,6,1630,30,19,13,3,4,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,42.0833,20002,218.675,0.81273,0.000596994885185,1.54402458592222,209,222,0,3.27987,1.5,780.0M,1.5,780.0M,3000
70,1.6,610.0M,ParallelGC,368,30,106,8130,13.2,4,2190,202,14,5,4,3,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,42.05,20002,408.003,1.59357,1.4880227433037,1.69460356355926,322,423,0,3.61519,1.6,610.0M,1.6,610.0M,3000
80,2.8,509.0M,SerialGC,373,25,152,9600,14.2,8,2625,31,18,6,3,4,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,479.883,2369.5,351.62,1.32846,0.940893850591162,1.74172245047559,0,468,0,3.59993,2.8,509.0M,2.8,509.0M,15322.8
86,2.1,502.0M,SerialGC,492,27,153,7550,13.7,5,2850,46,16,10,4,4,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,538.233,2594,384.974,1.14185,0.741874456949125,1.5431180839765,0,463,0,3.74787,2.1,502.0M,2.1,502.0M,26826
71,2.6,497.0M,SerialGC,476,29,140,8340,14.5,5,1960,20,17,4,3,4,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,845.717,1240,287.788,0.943904,0.527944746817736,1.746977823002,0,459,0,3.61358,2.6,497.0M,2.6,497.0M,46472.3
95,3,350.0M,SerialGC,490,28,144,9810,2.4,3,1290,60,18,12,4,0,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,1,810.367,1885.83,86.4678,0.895617,0.413750551692083,1.23851533887649,0,269,0,3.49741,3,350.0M,3,350.0M,51647.2
