Trial,memoryRequest,cpuRequest,gc,virtualized,shareclasses,aggressive,Instances,Throughput,Responsetime,MEM_MEAN,CPU_MEAN,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,WEB_ERRORS
41,3640,3.5,optavgpause,FALSE,TRUE,FALSE,1,111.344,1770.67,543.39,1.9898,1.69808306324815,2.30142973421738,500,612,3.5,3640.0M,3.5,3640.0M,6.44444
47,2156,2.5,balanced,FALSE,TRUE,FALSE,1,110.722,1772.22,522.351,1.46004,1.22142989221852,1.72431449546425,443,618,2.5,2156.0M,2.5,2156.0M,12
8,360,3.3,gencon,TRUE,FALSE,TRUE,1,104.867,1876.33,278.53,1.90875,1.59308607184074,2.18433028078148,272,287,3.3,360.0M,3.3,360.0M,0
1,587,2.6,balanced,FALSE,FALSE,FALSE,1,101.789,1929.11,327.423,1.50812,1.34814734756667,1.78405973617428,319,344,2.6,587.0M,2.6,587.0M,0
30,3151,2.2,gencon,FALSE,TRUE,FALSE,1,99.4222,2005.11,476.102,1.28995,1.12437086798519,1.50659213489243,415,602,2.2,3151.0M,2.2,3151.0M,10.4444
2,2589,2.5,optavgpause,FALSE,TRUE,FALSE,1,94.6333,2104.56,507.105,1.45725,1.20915729901111,1.71624341692299,439,576,2.5,2589.0M,2.5,2589.0M,7.88889
91,3502,2,optthruput,FALSE,TRUE,FALSE,1,85.7,2345.78,454.401,1.18406,1.03295773092593,1.36994380666375,414,571,2,3502.0M,2,3502.0M,14.4444
9,1529,1.9,optthruput,TRUE,FALSE,TRUE,1,85.1,2382,440.63,1.13714,0.980375231659259,1.30247372557037,398,479,1.9,1529.0M,1.9,1529.0M,25.5556
19,2357,2.2,metronome,FALSE,TRUE,FALSE,1,84.9,2375.67,448.269,1.29503,1.08860826107778,1.48737776725675,414,543,2.2,2357.0M,2.2,2357.0M,16
68,3077,2.2,optthruput,FALSE,TRUE,FALSE,1,84.8333,2375.22,468.149,1.28998,1.12699390597778,1.49520631537839,421,579,2.2,3077.0M,2.2,3077.0M,19.2222
18,3780,1.8,balanced,FALSE,TRUE,FALSE,1,75.7222,2714.44,470.694,1.08602,0.964402175466667,1.24591116300741,408,601,1.8,3780.0M,1.8,3780.0M,21.7778
75,3220,1.5,optthruput,FALSE,TRUE,FALSE,1,73.4556,2778.33,442.861,0.958698,0.824575910092593,1.13868709375179,402,514,1.5,3220.0M,1.5,3220.0M,28
28,3659,1.3,balanced,FALSE,TRUE,FALSE,1,70.7333,2886.11,471.937,0.814116,0.718861871211111,0.949601361303704,412,570,1.3,3659.0M,1.3,3659.0M,23.8889
6,2505,1.7,gencon,TRUE,FALSE,FALSE,1,70.5444,2915.56,436.514,1.03532,0.883571459940741,1.20059317127778,405,548,1.7,2505.0M,1.7,2505.0M,22.4444
14,3471,1,balanced,FALSE,TRUE,FALSE,1,50.9222,4117.67,415.401,0.665459,0.565577700374074,0.776884214905437,373,463,1,3471.0M,1,3471.0M,48.5556
77,278,4,gencon,FALSE,TRUE,FALSE,,,,,,,,,,,,,,

